status,trial_id,model_id,family,game,target_mode,backend,protocol_hash,elapsed_seconds,error,hit_at_1,mae,mse,exact,set_overlap,jaccard,brier,log_loss
PASS,pp-bocpd-dirichlet-categorical__mini__builtin__analytic__s1,pp-bocpd-dirichlet-categorical,changepoint,mini,online_changepoint,builtin,72d5955ad9ee97e82870202c322ea7b19977cc05f42da259cfa5c4d6a442cba5,0.09525233099702746,,0.0,5.2,32.4,0.0,0.0,0.0,0.9688560308344618,3.082214641214592
PASS,pp-conditional-bernoulli-fixed-k__mini__builtin__analytic__s1,pp-conditional-bernoulli-fixed-k,fixed_subset,mini,fixed_cardinality_subset,builtin,6c58745296c9f9c758fb7334ff1bff41db79ee707b75cf4af062a2b5d0b0f753,0.10119053000380518,,0.0,8.8,81.2,0.0,1.0,0.1111111111111111,0.1346568970401277,3.455975868583688
BLOCKED,pp-deep-markov-model__mini__pyro__pyro-svi-autonormal__s1,pp-deep-markov-model,deep_probabilistic,mini,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-dirichlet-multinomial__mini__pymc__pymc-nuts__s1,pp-dirichlet-multinomial,conjugate,mini,window_count,pymc,,,,,,,,,,,
BLOCKED,pp-dirichlet-process-categorical__mini__pymc__pymc-smc__s1,pp-dirichlet-process-categorical,nonparametric,mini,select_position_categorical,pymc,,,,,,,,,,,
PASS,pp-discounted-dirichlet-categorical__mini__builtin__analytic__s1,pp-discounted-dirichlet-categorical,conjugate,mini,select_position_categorical,builtin,776165a9950cbf6b50655affa5ff01a83208021c33515224e21f760ccc1743c4,0.06610724399797618,,0.0,5.4,32.2,0.0,0.0,0.0,0.9775511450841577,3.381108304076328
BLOCKED,pp-dp-changepoint__mini__numpyro__numpyro-nuts__s1,pp-dp-changepoint,nonparametric,mini,select_position_categorical,numpyro,,,,,,,,,,,
BLOCKED,pp-dynamic-dirichlet-discount__mini__pymc__pymc-nuts__s1,pp-dynamic-dirichlet-discount,dynamic_conjugate,mini,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-dynamic-horseshoe-categorical__mini__pymc__pymc-advi-fullrank__s1,pp-dynamic-horseshoe-categorical,state_space,mini,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-dynamic-model-averaging__mini__pymc__pymc-nuts__s1,pp-dynamic-model-averaging,ensemble,mini,ensemble,pymc,,,,,,,,,,,
BLOCKED,pp-dynamic-regression-categorical__mini__pymc__pymc-nuts__s1,pp-dynamic-regression-categorical,state_space,mini,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-empirical-bayes-dirichlet__mini__pymc__pymc-nuts__s1,pp-empirical-bayes-dirichlet,empirical_bayes,mini,select_position_categorical,pymc,,,,,,,,,,,
PASS,pp-expanding-dirichlet-categorical__mini__builtin__analytic__s1,pp-expanding-dirichlet-categorical,conjugate,mini,select_position_categorical,builtin,776165a9950cbf6b50655affa5ff01a83208021c33515224e21f760ccc1743c4,0.06923795900365803,,0.0,5.2,32.4,0.0,0.0,0.0,0.9689218526294315,3.1603535967199696
