status,trial_id,model_id,family,game,target_mode,backend,protocol_hash,elapsed_seconds,error,hit_at_1,mae,mse,exact,set_overlap,jaccard,brier,log_loss
PASS,pp-rolling-dirichlet-categorical__loto7__builtin__analytic__s1,pp-rolling-dirichlet-categorical,conjugate,loto7,select_position_categorical,builtin,903bd35c671e06b6992e7c787220c6e36b2e17df3c066f3c10e32c21b10ee12e,0.08325067399709951,,0.0,5.142857142857143,32.57142857142857,0.0,1.0,0.07692307692307693,0.9767637980572431,3.5913555010729152
BLOCKED,pp-seasonal-harmonic-categorical__loto7__pymc__pymc-advi-fullrank__s1,pp-seasonal-harmonic-categorical,state_space,loto7,select_position_categorical,pymc,,,,,,,,,,,
BLOCKED,pp-single-changepoint-categorical__loto7__pymc__pymc-smc__s1,pp-single-changepoint-categorical,changepoint,loto7,select_position_categorical,pymc,,,,,,,,,,,
PASS,pp-static-dirichlet-categorical__loto7__builtin__analytic__s1,pp-static-dirichlet-categorical,conjugate,loto7,select_position_categorical,builtin,903bd35c671e06b6992e7c787220c6e36b2e17df3c066f3c10e32c21b10ee12e,0.0822734679968562,,0.14285714285714285,4.714285714285714,32.714285714285715,0.0,1.0,0.07692307692307693,0.9422187292636719,3.0865711962379097
BLOCKED,pp-sticky-hdp-hmm__loto7__numpyro__numpyro-svi-lowrank__s1,pp-sticky-hdp-hmm,nonparametric,loto7,select_position_categorical,numpyro,,,,,,,,,,,
BLOCKED,pp-switching-dynamic-regression__loto7__numpyro__numpyro-svi-lowrank__s1,pp-switching-dynamic-regression,regime_switching,loto7,select_position_categorical,numpyro,,,,,,,,,,,
BLOCKED,pp-switching-logistic-normal__loto7__numpyro__numpyro-svi-lowrank__s1,pp-switching-logistic-normal,regime_switching,loto7,select_position_categorical,numpyro,,,,,,,,,,,
PASS,pp-uniform-dirichlet__loto7__builtin__analytic__s1,pp-uniform-dirichlet,conjugate,loto7,select_position_categorical,builtin,903bd35c671e06b6992e7c787220c6e36b2e17df3c066f3c10e32c21b10ee12e,0.08027936000144109,,0.2857142857142857,2.857142857142857,10.571428571428571,0.0,0.0,0.0,0.9777814960023026,3.697757293924417
BLOCKED,pp-variational-rnn__loto7__pyro__pyro-svi-autonormal__s1,pp-variational-rnn,deep_probabilistic,loto7,select_position_categorical,pyro,,,,,,,,,,,
BLOCKED,pp-zero-inflated-negative-binomial-count__loto7__pymc__pymc-advi-fullrank__s1,pp-zero-inflated-negative-binomial-count,count,loto7,window_count,pymc,,,,,,,,,,,
BLOCKED,pp-zero-inflated-poisson-count__loto7__pymc__pymc-advi-fullrank__s1,pp-zero-inflated-poisson-count,count,loto7,window_count,pymc,,,,,,,,,,,
